院校代号,院校名称,计划,实际投档人数投档最低分,语文,数学,外语听力
1490,北京理工大学,121,133,618,111,120,15
1490,北京理工大学(较高收费),5,6,597,118,115,26
1495,哈尔滨工业大学,116,118,622,106,121,11
1496,哈尔滨工业大学(威海),133,133,587,118,113,12
1500,哈尔滨工程大学,233,245,570,106,122,06
1505,南京航空航天大学,170,173,593,118,111,11
1510,南京理工大学,123,129,589,113,124,11
1515,西北工业大学,191,193,604,115,113,18
1515,西北工业大学(较高收费),25,25,569,097,132,12
1520,暨南大学,32,34,580,115,116,06
1525,中国科学技术大学,39,39,647,126,126,11
1550,北京工商大学,36,37,554,096,110,11
1550,北京工商大学(较高收费),2,3,531,112,111,15
1560,北京工业大学,17,23,584,115,110,17
1565,北京第二外国语学院,15,15,566,104,097,26
1605,天津医科大学,36,36,601,125,105,17
1630,河北工业大学,50,50,569,101,111,08
1635,燕山大学,108,112,550,112,115,15
1640,石家庄铁道大学,93,97,525,107,102,09
1640,石家庄铁道大学(较高收费),10,10,509,101,100,00
1660,山西大学,75,77,537,112,112,11
1680,内蒙古大学,31,31,534,107,107,00
1690,辽宁大学,76,76,556,104,130,14
1695,辽宁工程技术大学,165,165,508,108,096,09
1710,沈阳农业大学,144,151,495,118,102,14
1715,沈阳药科大学,56,56,538,101,108,14
1725,东北财经大学,23,23,557,101,122,00
1725,东北财经大学(较高收费),15,17,531,109,103,23
1740,延边大学,6,7,554,095,111,00
1745,长春理工大学,74,78,538,106,111,26
1745,长春理工大学(较高收费),8,8,507,103,107,11
1760,东北农业大学,165,165,528,099,118,11
1765,哈尔滨医科大学,56,56,523,084,130,18
1790,上海大学,156,159,586,117,120,11
1790,上海大学(较高收费),31,36,571,120,109,09
1795,上海理工大学,114,119,561,097,123,09
1795,上海理工大学(较高收费),25,26,549,110,106,08
1805,上海对外经贸大学,67,67,565,106,114,12
1810,华东政法大学,69,72,569,108,121,12
1830,苏州大学,127,132,582,119,127,11
1830,苏州大学(较高收费),16,16,552,101,113,26
1835,扬州大学,75,80,549,113,109,11
1840,江苏大学,132,139,554,104,116,26
1845,南京工业大学,188,188,550,125,111,26
1855,南京师范大学,72,76,573,110,122,11
1860,南京信息工程大学,142,143,548,104,112,06
1860,南京信息工程大学(较高收费),11,11,527,095,095,14
1880,宁波大学,75,75,549,113,093,12
1885,安徽大学,48,50,562,117,097,08
1895,福州大学,52,60,571,108,109,12
1895,福州大学(农林矿),6,6,542,103,100,08
1910,南昌大学,107,118,562,108,119,24
1910,南昌大学(较高收费),35,35,538,094,097,08
1915,江西财经大学,56,59,554,115,109,06
1930,湘潭大学,133,141,548,107,120,11
1930,湘潭大学(较高收费),5,5,500,104,096,17
1935,湖南师范大学,37,38,557,112,111,08
1960,广东外语外贸大学,14,15,562,110,110,21
1965,深圳大学,27,27,579,107,118,17
1970,华南农业大学,105,117,532,110,107,09
1975,广州中医药大学,19,19,556,116,094,06
1985,华南师范大学,9,9,562,115,117,21
2000,广西大学,62,62,550,113,110,09
2000,广西大学(较高收费),8,8,528,100,115,09
2025,重庆医科大学,20,21,585,103,113,15
2030,西南政法大学,30,32,572,099,127,24
2030,西南政法大学(较高收费),3,3,559,112,115,08
2035,重庆邮电大学,40,42,558,099,104,05
2035,重庆邮电大学(较高收费),25,25,526,110,119,12
2080,云南大学,44,44,557,106,117,20
2090,西北大学,36,37,572,108,124,26
2090,西北大学(较高收费),10,10,541,106,110,06
2095,陕西科技大学,64,67,539,107,109,11
2100,西安建筑科技大学,30,32,552,106,099,05
2100,西安建筑科技大学(较高收费),6,10,512,099,106,09
2105,西安邮电大学,54,55,551,098,114,09
2105,西安邮电大学(较高收费),10,10,522,113,130,14
2110,西安外国语大学,12,13,556,102,107,26
2115,西北政法大学,22,22,556,106,108,18
2120,新疆大学,304,304,502,118,086,09
2120,新疆大学(较高收费),40,37,484,091,090,00
2125,青海大学,172,181,526,112,123,12
2130,石河子大学,186,216,514,097,097,00
2200,首都医科大学,24,25,600,116,133,00
2205,青岛大学,71,71,551,124,105,09
2210,湖北大学,90,94,547,111,105,08
2210,湖北大学(较高收费),11,11,484,107,090,27
2215,中国民航大学,177,179,543,108,103,14
2220,武汉科技大学,130,134,553,113,120,17
2225,首都师范大学,14,15,557,105,130,12
2230,天津财经大学,62,62,552,116,111,12
2235,东北电力大学,180,185,526,110,098,08
2235,东北电力大学(较高收费),15,15,524,106,119,12
2240,南京审计大学,93,93,563,105,109,23
2250,天津外国语大学,45,45,549,112,112,08
2255,浙江理工大学,100,102,553,103,118,18
2260,上海交通大学医学院,7,7,655,116,135,12
2265,南京财经大学,37,39,559,094,118,00
2270,江苏科技大学,90,93,542,096,115,08
2275,青岛科技大学,67,67,541,102,119,08
2275,青岛科技大学(较高收费),13,13,506,104,094,09
2280,北京建筑大学,27,27,548,116,093,00
2285,沈阳建筑大学,72,72,521,124,111,05
2290,中国计量大学,56,56,546,102,113,11
2295,南华大学,87,91,525,110,097,23
2300,长沙理工大学,133,137,547,096,112,03
2305,贵州大学,46,48,552,096,106,14
2310,南方医科大学,48,54,575,112,112,09
2315,南京邮电大学,138,141,565,110,094,24
2320,北方工业大学,47,52,548,105,115,09
2325,华侨大学,98,100,541,114,113,08
2330,西安工业大学,34,39,541,097,120,14
2340,汕头大学,24,24,553,106,121,11
2345,宁波诺丁汉大学,23,24,544,108,102,29
2350,大连民族大学,6,6,522,100,103,09
2350,大连民族大学(少数民族),12,7,484,099,106,14
2355,四川农业大学,162,165,530,114,101,11
2360,温州肯恩大学,12,12,509,091,109,18
2365,太原理工大学,101,105,556,113,121,11
2375,东北石油大学,128,106,489,099,099,00
2380,北京信息科技大学,38,38,552,100,112,17
2385,安徽财经大学,63,68,545,110,109,23
2385,安徽财经大学(较高收费),3,3,504,108,107,11
2390,上海师范大学,138,138,545,107,117,21
2390,上海师范大学(较高收费),35,35,526,106,106,11
2395,集美大学,117,117,539,113,101,00
2400,北京物资学院,18,18,537,112,109,00
2405,天津师范大学,114,119,535,116,113,11
2410,青岛理工大学,72,72,544,112,111,09
2415,浙江工业大学,65,67,558,110,114,09
2420,杭州电子科技大学,110,112,561,115,126,27
2425,湖南科技大学,95,110,530,100,116,18
2430,南昌航空大学,36,40,538,097,110,00
2435,江西理工大学,151,154,518,110,108,24
2440,长江大学,219,245,517,104,109,20
2450,成都理工大学,58,58,545,103,105,11
2500,首都经济贸易大学,24,24,577,103,122,12
2505,南京林业大学,109,112,539,114,099,29
2505,南京林业大学(较高收费),4,4,508,104,096,12
2510,西南科技大学,87,93,523,095,115,06
2515,西南石油大学,140,140,523,098,115,05
2520,西安工程大学,111,111,526,105,114,26
2525,天津工业大学,293,293,541,110,109,08
2525,天津工业大学(较高收费),40,40,514,110,100,09
2530,中北大学,128,138,527,095,118,08
2535,西安科技大学,38,40,548,108,122,17
2535,西安科技大学(较高收费),7,7,515,098,115,09
2540,河北科技大学,72,72,525,111,110,14
2545,河北工程大学,34,34,519,087,106,14
2550,北京联合大学,6,6,546,104,115,20
2555,大连交通大学,64,64,532,108,105,00
2560,温州医科大学,80,80,555,112,115,00
2565,南通大学,79,83,529,115,106,05
2570,上海中医药大学,28,28,540,100,096,00
2570,上海中医药大学(较高收费),2,2,543,095,114,14
2575,浙江师范大学,24,25,532,103,111,09
2580,安徽理工大学,30,30,529,097,111,00
2600,天津中医药大学,32,32,553,122,094,11
2600,天津中医药大学(较高收费),3,3,511,114,107,11
2605,中国医科大学,33,33,571,112,112,17
2605,中国医科大学(较高收费),4,4,523,113,115,12
2610,黑龙江中医药大学,20,20,519,104,116,17
2615,湖南中医药大学,73,80,532,105,110,09
2620,成都中医药大学,20,20,530,119,093,11
2625,新疆医科大学,2,2,566,116,101,11
2630,山西医科大学,5,5,574,097,129,06
2635,大连医科大学,39,39,553,099,109,09
2650,广西医科大学,24,24,545,098,117,00
2655,湖北中医药大学,56,56,527,107,111,00
2750,海南大学,360,367,542,111,104,12
2750,海南大学(较高收费),14,11,486,108,114,00
2755,宁夏大学,35,35,541,097,113,11
2780,山东科技大学,53,53,541,121,125,12
2780,山东科技大学(较高收费),12,12,500,098,109,27
2785,河北大学,76,76,534,105,119,23
2790,辽宁石油化工大学,130,130,500,107,093,00
2795,沈阳工业大学,70,70,524,109,101,14
2800,中南林业科技大学,107,109,524,101,099,00
2805,西安理工大学,99,104,550,109,106,21
2810,安徽工业大学,59,64,526,097,109,09
2815,安徽医科大学,6,6,576,105,118,21
2850,广州大学,21,22,549,111,091,09
2855,广州医科大学,16,18,551,106,113,06
2860,上海海事大学,76,77,549,115,104,09
2860,上海海事大学(较高收费),22,22,515,109,103,17
2865,重庆交通大学,100,100,540,106,096,14
2865,重庆交通大学(较高收费),7,7,509,114,100,08
2870,天津理工大学,172,172,545,097,111,12
2875,上海海洋大学,115,116,530,119,104,14
2875,上海海洋大学(较高收费),10,10,513,114,093,26
2880,常州大学,137,137,524,105,099,12
2885,华东交通大学,110,116,531,101,102,06
2890,重庆工商大学,76,80,539,106,111,09
2895,武汉工程大学,139,139,533,101,109,12
2895,武汉工程大学(较高收费),3,3,518,090,112,00
2900,太原科技大学,90,90,513,102,110,06
2905,三峡大学,141,155,525,113,113,24
2910,四川外国语大学,6,6,551,108,102,17
2915,西安石油大学,20,20,525,099,113,05
2920,山西财经大学,28,28,543,103,112,12
2925,上海立信会计金融学院,46,46,559,120,100,00
2930,广东工业大学,58,66,547,114,098,09
2935,辽宁科技大学,24,29,514,101,107,18
3020,西南民族大学,21,21,521,114,106,12
3040,上海电力学院,125,129,530,112,106,18
3040,上海电力学院(较高收费),10,10,533,103,105,11
3060,中国民用航空飞行学院,59,59,510,093,104,11
3175,北京印刷学院,28,29,522,109,118,00
3200,天津科技大学,286,289,529,127,107,06
3240,天津商业大学,39,39,532,111,110,09
3275,河北医科大学,15,16,570,109,110,12
3310,华北理工大学,66,66,518,106,122,00
3545,沈阳理工大学,63,63,521,100,111,09
3550,沈阳航空航天大学,151,151,497,098,100,24
3595,大连外国语大学,34,34,543,110,113,18
3690,吉林财经大学,51,52,510,112,092,27
3690,吉林财经大学(较高收费),4,4,498,111,094,24
3695,黑龙江大学,36,36,513,106,100,09
3705,哈尔滨理工大学,320,323,514,099,119,14
3725,哈尔滨商业大学,134,134,511,105,100,14
3780,上海工程技术大学,38,40,540,113,109,15
3815,上海应用技术大学,228,228,515,107,092,00
3890,苏州科技大学,41,43,527,106,106,11
4020,浙江海洋大学,8,8,526,103,110,14
4030,浙江中医药大学,60,70,514,113,110,00
4055,杭州师范大学,67,67,538,108,094,08
4060,浙江工商大学,27,27,556,116,111,11
4065,浙江财经大学,11,12,530,107,101,29
4195,福建农林大学,30,30,516,108,101,18
4200,福建医科大学,71,71,553,112,106,23
4205,福建师范大学,85,85,530,111,112,09
4275,东华理工大学,78,82,511,093,105,14
4345,南昌工程学院,38,45,502,110,099,11
4350,济南大学,83,83,536,102,118,00
4370,山东理工大学,60,60,517,114,112,11
4395,山东师范大学,70,70,528,095,104,09
4550,湖北工业大学,70,70,532,110,113,09
4550,湖北工业大学(较高收费),6,11,491,103,113,09
4555,湖北汽车工业学院,12,14,506,114,088,11
4575,武汉纺织大学(原武汉科技学院),101,103,507,113,115,21
4700,湖南农业大学,84,84,519,103,095,14
4735,湖南工业大学,184,208,491,113,099,11
4800,广东以色列理工学院,6,6,503,107,099,09
4815,东莞理工学院,42,42,511,099,122,11
4830,广东医科大学,14,18,550,109,107,09
4890,北京师范大学-香港浸会大学联合国际学院,29,30,507,101,107,08
4925,桂林电子科技大学,92,94,524,111,107,14
5005,海南医学院,51,51,526,100,110,08
5035,重庆理工大学,85,89,536,101,097,12
5035,重庆理工大学(较高收费),20,20,505,104,100,21
5055,重庆师范大学,21,23,514,114,106,11
5080,四川师范大学,38,38,519,090,115,11
5095,成都信息工程大学(原成都信息工程学院),40,45,519,112,107,14
5100,西华大学,58,58,517,112,093,14
5115,西南医科大学(原泸州医学院),40,40,535,105,099,00
5230,昆明理工大学,77,81,533,108,104,11
5415,兰州交通大学,95,101,526,109,110,11
5590,成都学院,6,6,499,109,104,14
5595,上海电机学院,66,69,519,105,103,09
5610,上海政法学院,70,70,535,118,109,24
5995,郑州大学(中外合作办学),1042,1052,514,108,097,11
5996,郑州大学(软件类),1430,1444,523,110,086,17
6000,郑州大学,2764,2817,561,104,112,14
6000,郑州大学(医护类),486,491,496,098,098,00
6005,河南大学,2239,2284,531,117,099,00
6007,河南大学(与开封大学联合办学)(就读地点：开封大学),40,20,484,092,108,09
6008,河南大学(与濮阳市联办濮阳工学院),160,37,484,084,095,11
6009,河南大学(中外合作办学),435,465,492,110,088,24
6010,河南农业大学,2382,2620,482,105,098,12
6014,河南大学(迈阿密学院),80,82,491,093,095,11
6015,河南中医药大学,1895,2066,491,101,109,11
6020,新乡医学院,1965,2122,507,105,112,00
6030,河南师范大学,2669,2776,495,110,087,14
6080,河南财经政法大学,1161,1207,521,102,102,21
6080,河南财经政法大学(较高收费),170,173,508,097,109,06
6085,河南科技大学,2153,2218,509,106,103,15
6090,郑州航空工业管理学院,507,537,494,104,099,17
6095,华北水利水电大学,1342,1369,514,103,096,08
6100,河南理工大学,5231,5493,488,108,109,09
6105,河南工业大学,2720,2829,501,111,098,00
6110,郑州轻工业学院,894,974,488,116,095,08
6115,中原工学院,626,682,484,106,113,09
7501,上海第二工业大学,50,50,521,096,116,11
9919,上海戏剧学院,5,5,542,111,119,11
